newpoint	0	1	0	0	9209.0	13206.0	298.0	9426	13083
newpoint	1	1	1	0	15277.0	11710.0	298.0	15345	11868
newpoint	2	1	0	0	7740.0	14604.0	298.0	7812	14589
newpoint	3	1	2	0	14515.0	7821.0	198.0	14541	8062
newpoint	4	1	0	0	15386.0	15390.0	298.0	15361	15394
point	4	2	0	1	15500.648907999697	15189.521028502295	672.0	15733	15033
point	3	2	2	1	14536.237761112325	8017.857708771935	198.0	14541	8062
point	2	2	0	1	7977.592111553972	14671.239295899266	298.0	8370	14998
point	1	2	1	1	15361.078541146047	11990.636965493992	298.0	15504	12048
point	0	2	0	1	9401.429579315392	13041.109446701652	298.0	9365	12979
newpoint	5	1	0	1	10796.0	13966.0	298.0	10814	14101
newpoint	6	1	1	1	14753.0	19940.0	298.0	14685	19745
newpoint	7	1	0	1	5350.0	20077.0	298.0	5427	20085
newpoint	8	1	1	1	9116.0	10169.0	298.0	9075	10220
newpoint	9	1	1	1	12198.0	18705.0	448.0	12185	18804
point	9	2	1	2	11912.553676819214	18912.82055383153	448.0	11570	18739
point	8	2	1	2	8916.235960975666	10251.883205912707	298.0	8914	10255
point	7	2	0	2	5382.476123542305	19869.383936622668	298.0	5373	19679
point	6	2	1	2	14672.062257178817	19654.435800251715	298.0	14669	19633
point	5	2	0	2	10827.799570256258	14261.508233304003	298.0	10814	14337
point	4	3	0	2	15951.063738120918	14715.999268285534	672.0	16070	14420
point	3	3	2	2	14682.843482353584	8003.060470802849	198.0	14760	7971
point	2	3	0	2	8206.592603123114	14861.929554856277	298.0	8370	14998
point	1	3	1	2	15637.366433804369	12102.299190906064	298.0	15644	12105
point	0	3	0	2	9331.798439143351	12805.742321206599	298.0	9454	12732
newpoint	10	1	1	2	9137.0	9983.0	298.0	9088	10040
newpoint	11	1	1	2	12723.0	25887.0	298.0	12680	25894
newpoint	12	1	0	2	5175.0	10734.0	298.0	5145	10751
newpoint	13	1	0	2	17019.0	22022.0	298.0	16993	22010
newpoint	14	1	1	2	9806.0	14061.0	298.0	9690	14161
point	14	2	1	3	9623.947302724891	14289.826077698353	298.0	9590	14376
point	13	2	0	3	16803.48063195869	21857.12547545143	298.0	16622	22034
point	12	2	0	3	4941.814604343107	10746.405002114125	298.0	4887	10678
point	11	2	1	3	12425.77310830796	25904.05744119879	298.0	12404	25905
point	10	2	1	3	8960.870059858731	10219.731354663862	298.0	9029	10277
point	9	3	1	3	11523.165145668856	18698.252770582185	448.0	11422	18638
point	8	3	1	3	8656.09685238356	10277.247451797732	504.50000000000006	8623	10218
point	7	3	0	3	5335.159297703309	19579.681760034233	298.0	5255	19436
